場	R	馬場	コース	頭数	着	番	馬名	人気	オッズ	性齢	斤量	体重	平均差	週	帯	4角	rel	前走地	経度差
中山	1	不良	ダ1800	15	1	8	ウィンターブリーズ	1	1.4	牡2	55	482	6.5	11.1	9-16週	1	0.0	福島	0.42
中山	1	不良	ダ1800	15	2	4	ノシェリー	2	5.9	牡2	55	478	2.5	8.1	7-9週	6	0.36	新潟	0.97
中山	1	不良	ダ1800	15	3	15	ラインホルト	4	12.8	牡2	55	502	26.5	7.0	7-9週	3	0.14	新潟	0.97
中山	2	重	芝1600	14	1	11	アテナブレイブ	1	2.4	牝2	55	416	-19.4	5.0	4.5-7週	1	0.0	新潟	0.97
中山	2	重	芝1600	14	2	2	フォンターナドーロ	5	8.0	牝2	55	450	14.6	6.1	4.5-7週	2	0.08	新潟	0.97
中山	2	重	芝1600	14	3	7	レイナクリューソス	8	34.1	牝2	55	476	40.6	2.0	0-4週	7	0.46	中山	0.0
中山	3	重	芝2000	12	1	13	サウンズオーサム	1	1.9	牝2	55	490	27.8	9.1	9-16週	8	0.64	福島	0.42
中山	3	重	芝2000	12	2	12	タッカーヴィーナス	7	25.9	牝2	55	490	27.8	4.1	0-4週	9	0.73	新潟	0.97
中山	3	重	芝2000	12	3	2	ハンデンブレイズ	6	15.3	牡2	55	464	1.8	3.0	0-4週	1	0.0	新潟	0.97
中山	4	不良	ダ1800	16	1	3	マートングレイス	5	10.2	牝2	55	442	-32.5		?	7	0.4		
中山	4	不良	ダ1800	16	2	10	ブリスブリンク	1	3.6	牝2	55	496	21.5		?	5	0.27		
中山	4	不良	ダ1800	16	3	4	シャローオネスト	10	26.4	牡2	55	438	-36.5		?	10	0.6		
中山	5	重	芝1600	16	1	6	ラプチュラス	2	3.5	牝2	55	466	19.6		?	3	0.13		
中山	5	重	芝1600	16	2	12	ポストトゥルース	3	5.9	牝2	55	450	3.6		?	3	0.13		
中山	5	重	芝1600	16	3	5	アニーリング	7	32.8	牝2	55	432	-14.4		?	3	0.13		
中山	6	不良	ダ1800	14	1	8	ウリズンベー	1	3.3	牡3	55	480	-11.3	7.0	7-9週	2	0.08	新潟	0.97
中山	6	不良	ダ1800	14	2	7	ヤングアメリカンズ	5	10.1	牡4	58	496	4.7	11.1	9-16週	8	0.54	福島	0.42
中山	6	不良	ダ1800	14	3	2	ブルージャイアント	3	9.1	牡4	58	542	50.7	14.0	9-16週	2	0.08	東京	0.54
中山	7	重	芝2000	18	1	2	マイネルマスター	7	14.4	牡3	55	452	-13.8	2.1	0-4週	2	0.06	札幌	1.33
中山	7	重	芝2000	18	2	13	エルナト	9	18.8	牡3	55	494	28.2	11.7	9-16週	1	0.0	盛岡	1.11
中山	7	重	芝2000	18	3	1	セットエトワール	6	14.4	牝3	53	488	22.2	5.1	4.5-7週	5	0.24	札幌	1.33
中山	8	不良	ダ1200	16	1	4	グラティアム	2	3.6	牝3	54	464	-5.5	10.1	9-16週	5	0.27	福島	0.42
中山	8	不良	ダ1200	16	2	1	フラッシュポイント	7	18.6	牝4	56	516	46.5	10.1	9-16週	1	0.0	福島	0.42
中山	8	不良	ダ1200	16	3	5	カンレイスター	1	3.4	牝3	54	438	-31.5	2.1	0-4週	3	0.13	中山	0.0
中山	9	不良	ダ2400	12	1	8	ニヒトツーゼーア	3	4.6	牡4	55	508	21	4.0	0-4週	1	0.0	札幌	1.33
中山	9	不良	ダ2400	12	2	10	シャローファースト	2	4.3	牡3	54	542	55	10.0	9-16週	2	0.09	函館	0.75
中山	9	不良	ダ2400	12	3	3	コズミックダンサー	1	3.1	牡4	57	488	1	14.1	9-16週	2	0.09	東京	0.54
中山	10	不良	ダ1200	16	1	10	モリノセピア	9	49.3	牡5	58	498	17	8.0	7-9週	4	0.2	新潟	0.97
中山	10	不良	ダ1200	16	2	8	タカスタカスタカス	1	1.7	牡3	56	506	25	13.0	9-16週	1	0.0	東京	0.54
中山	10	不良	ダ1200	16	3	15	ブルーマッキンジー	2	5.6	牡3	56	498	17	11.1	9-16週	2	0.07	小倉	9.16
中山	11	重	芝2200	13	1	8	メイショウゲキリン	9	44.5	牡7	57	520	25.5	4.0	0-4週	1	0.0	中京	3.01
中山	11	重	芝2200	13	2	1	キャントウェイト	6	12.1	牡5	57	472	-22.5	4.1	0-4週	5	0.33	札幌	1.33
中山	11	重	芝2200	13	3	4	ヴーレヴー	3	3.9	牝4	55	496	1.5	7.0	7-9週	3	0.17	札幌	1.33
中山	12	重	芝1200	16	1	11	ビッグフラワー	11	31.0	牡5	58	488	10.6	10.0	9-16週	3	0.13	福島	0.42
中山	12	重	芝1200	16	2	13	フロウアンドライム	8	22.2	牡4	58	454	-23.4	12.1	9-16週	9	0.53	函館	0.75
中山	12	重	芝1200	16	3	1	グランプレジール	5	8.1	セン7	58	518	40.6	18.0	16週超	1	0.0	新潟	0.97
阪神	1	良	ダ2970	12	1	12	ブラックシールド	3	5.0	牡7	60	476	-14.3	3.0	0-4週	1	0.0	新潟	3.69
阪神	1	良	ダ2970	12	2	9	アウスヴァール	1	2.7	セン8	60	496	5.7	5.0	4.5-7週	2	0.09	新潟	3.69
阪神	1	良	ダ2970	12	3	4	ハッピーダンチャン	8	34.2	牡4	60	468	-22.3	8.0	7-9週	10	0.82	中京	1.65
阪神	2	良	ダ1200	13	1	8	スクワミッシュ	3	6.3	牝2	55	436	-36.2	2.1	0-4週	2	0.08	阪神	0.0
阪神	2	良	ダ1200	13	2	11	グランモンターナ	5	8.1	牡2	55	440	-32.2	8.0	7-9週	6	0.42	札幌	5.99
阪神	2	良	ダ1200	13	3	3	ゴールデンレシオ	7	20.0	牡2	53	492	19.8	2.1	0-4週	9	0.67	阪神	0.0
阪神	3	良	芝1800	7	1	3	シャローチャンプ	2	7.6	牡2	55	526	43.1	11.0	9-16週	5	0.67	小倉	4.5
阪神	3	良	芝1800	7	2	7	ハートノート	1	1.1	牝2	55	500	17.1	2.0	0-4週	3	0.33	阪神	0.0
阪神	3	良	芝1800	7	3	4	ドーンレーサー	6	53.6	牡2	55	458	-24.9	10.0	9-16週	5	0.67	福島	5.08
阪神	4	良	ダ1200	15	1	10	フィリップヴィル	1	1.7	牡2	55	494	34		?	1	0.0		
阪神	4	良	ダ1200	15	2	3	テリオスベラ	2	7.1	牝2	55	452	-8		?	3	0.14		
阪神	4	良	ダ1200	15	3	12	レグルスロウ	5	15.3	牡2	55	428	-32		?	2	0.07		
阪神	5	良	芝1600	14	1	10	ミランダスマイル	2	2.8	牝2	55	494	46.4		?	3	0.15		
阪神	5	良	芝1600	14	2	5	ジョリーエピキュア	1	2.4	牝2	55	408	-39.6		?	10	0.69		
阪神	5	良	芝1600	14	3	1	キュールエポルト	12	59.8	牝2	55	474	26.4		?	5	0.31		
阪神	6	良	芝2000	11	1	10	エイシンビーコン	6	14.8	牡3	55	462	-17.5	6.1	4.5-7週	3	0.2	中京	1.65
阪神	6	良	芝2000	11	2	5	リガーレ	5	10.9	牡4	58	520	40.5	2.0	0-4週	3	0.2	阪神	0.0
阪神	6	良	芝2000	11	3	7	キッコベッロ	2	3.4	牡3	55	498	18.5	2.1	0-4週	5	0.4	阪神	0.0
阪神	7	良	ダ1800	12	1	9	ユキノクラウン	7	20.8	牡4	58	522	43	13.1	9-16週	2	0.09	阪神	0.0
阪神	7	良	ダ1800	12	2	11	マーゴットバディ	4	6.2	セン3	55	494	15	2.6	0-4週	1	0.0	名古屋	1.56
阪神	7	良	ダ1800	12	3	1	ココロヅヨサ	2	3.9	牡3	55	462	-17	1.0	0-4週	6	0.45	阪神	0.0
阪神	8	良	芝1600	15	1	11	リアンマヒナ	1	2.3	牡3	56	438	-17.7	3.1	0-4週			中京	1.65
阪神	8	良	芝1600	15	2	1	フェルギナス	5	9.3	牡3	56	478	22.3	14.1	9-16週			阪神	0.0
阪神	8	良	芝1600	15	3	13	パスコード	4	6.1	牝4	56	452	-3.7	7.1	7-9週			中京	1.65
阪神	10	良	ダ1800	15	1	12	サンライズケヴィン	2	3.6	牡3	55	500	15.6	10.0	9-16週	2	0.07	小倉	4.5
阪神	10	良	ダ1800	15	2	5	ソルチェリア	1	3.4	牡3	55	502	17.6	4.1	0-4週	1	0.0	中京	1.65
阪神	10	良	ダ1800	15	3	2	マシン	4	7.1	牡3	55	474	-10.4	4.1	0-4週	3	0.14	中京	1.65
阪神	11	良	芝1200	16	1	4	インブロリオ	1	6.4	牝4	56	490	10.6	10.1	9-16週	3	0.13	小倉	4.5
阪神	11	良	芝1200	16	2	3	マリノトニトゥルス	10	20.8	牝4	56	470	-9.4	17.1	16週超	2	0.07	新潟	3.69
阪神	11	良	芝1200	16	3	2	アサクサグレース	3	6.9	牝4	56	474	-5.4	12.0	9-16週	1	0.0	小倉	4.5
